Country,Parameter link,Dystopia (2.43) + residual,Explained by: Freedom to make life choices,Explained by: Economy,Explained by: Generosity,Explained by: Healthy life expectancy,Explained by: Perceptions of corruption,Explained by: Social support,Happiness score,Interval,Range,Range,Rank,Whisker-high,Whisker-low
135.        Madagascar (4.208)*,TRUE,2.620011091,0.20737116,0.265881479,0.184620753,0.341007769,0.086854503,0.502705991,4.208499908,4.348973751,0.280947685,0.280947685,135,4.348973751,4.068026066
136.        Togo (4.107)*,TRUE,2.806315422,0.289171755,0.254027545,0.208537176,0.202712461,0.106555179,0.239493385,4.106800079,4.257520199,0.301440477,0.301440477,136,4.257520199,3.956079721
137.        Zambia (4.073),TRUE,1.974850893,0.486917496,0.527595997,0.227453545,0.230895996,0.073920228,0.551785052,4.073400021,4.209196091,0.271592379,0.271592379,137,4.209196091,3.937603712
138.        Sierra Leone (3.849)*,TRUE,2.395932674,0.408161074,0.278990716,0.242766619,0.099918894,0.046528064,0.377123982,3.849400043,4.000989914,0.303179741,0.303179741,138,4.000989914,3.697810173
139.        India (3.819),TRUE,1.405115604,0.622265697,0.740619242,0.246244699,0.382820874,0.105628952,0.31622985,3.818900108,3.869042158,0.1002841,0.1002841,139,3.869042158,3.768758059
140.        Burundi (3.775)*,TRUE,2.8757689,0.297639608,0,0.172397986,0.155018091,0.211985216,0.06247329,3.775300026,3.98526001,0.419919968,0.419919968,140,3.98526001,3.565340042
141.        Yemen (3.658)*,TRUE,1.775873184,0.26819995,0.329497486,0.092267156,0.272228658,0.08867912,0.831189096,3.657900095,3.794316292,0.272832394,0.272832394,141,3.794316292,3.521483898
142.        Tanzania (3.623)*,TRUE,1.262726307,0.549264312,0.433308125,0.3074494,0.299863011,0.231084362,0.539514124,3.62319994,3.761788845,0.277177811,0.277177811,142,3.761788845,3.484611034
143.        Haiti (3.615)*,TRUE,2.060448408,0.257490605,0.294106573,0.462947726,0.227456406,0.139211461,0.173266888,3.614900112,3.953321695,0.676843166,0.676843166,143,3.953321695,3.276478529
144.        Malawi (3.600)*,TRUE,2.190197945,0.484244585,0.11256846,0.213024721,0.298242033,0.134099349,0.167613819,3.599999905,3.780539513,0.361079216,0.361079216,144,3.780539513,3.419460297
145.        Lesotho (3.512)*,TRUE,1.799820781,0.405455321,0.450848252,0.102819398,0.006991879,0.01528391,0.730560958,3.511800051,3.747889996,0.47217989,0.47217989,145,3.747889996,3.275710106
146.        Botswana (3.467)*,TRUE,0.648459911,0.538626194,1.099197745,0.027393924,0.339867711,0.088467814,0.724478185,3.466500044,3.611289024,0.289577961,0.289577961,146,3.611289024,3.321711063
147.        Rwanda (3.415)*,TRUE,1.09514904,0.626681387,0.363624454,0.227456644,0.406968892,0.492669284,0.202183172,3.414700031,3.547647476,0.26589489,0.26589489,147,3.547647476,3.281752586
148.        Zimbabwe (3.145),TRUE,1.20484519,0.358907044,0.456724167,0.157087848,0.243230313,0.0754712,0.648552299,3.144799948,3.259349108,0.22909832,0.22909832,148,3.259349108,3.030250788
149.        Afghanistan (2.523*,TRUE,1.895140886,0,0.370119929,0.121641152,0.126440004,0.009569093,0,2.522900105,2.596467972,0.147135735,0.147135735,149,2.596467972,2.449332237
