Country,Parameter link,Dystopia (2.43) + residual,Explained by: Freedom to make life choices,Explained by: Economy,Explained by: Generosity,Explained by: Healthy life expectancy,Explained by: Perceptions of corruption,Explained by: Social support,Happiness score,Interval,Range,Range,Rank,Whisker-high,Whisker-low
32.  Singapore (6.377)*,TRUE,1.378849983,0.663721502,1.695391059,0.175952792,0.89681375,0.546775341,1.018993735,6.37650013,6.459908962,0.166817665,0.166817665,32,6.459908962,6.293091297
33.  Kosovo (6.372),TRUE,3.181643963,0.592869401,0.937334001,0.355896562,0.482966721,0.0139377,0.807355583,6.372000217,6.48686409,0.229727745,0.229727745,33,6.48686409,6.257136345
34.  Slovakia (6.331),TRUE,2.714428186,0.46803233,1.304421782,0.107230276,0.652658582,0.017916767,1.066245198,6.330900192,6.411270142,0.160739899,0.160739899,34,6.411270142,6.250530243
35.  Brazil (6.330),TRUE,3.014907598,0.514313519,1.027845144,0.141625822,0.570778728,0.116669014,0.943968415,6.34010006,6.414782524,0.169364929,0.169364929,35,6.414782524,6.245417595
36.  Mexico (6.317),TRUE,2.960556269,0.584987998,1.126232147,0.092204243,0.633654714,0.089447029,0.829717219,6.316800117,6.420206547,0.206812859,0.206812859,36,6.420206547,6.213393688
37.  Jamaica (6.309)*,TRUE,3.134729385,0.617950082,0.891204596,0.098735213,0.599096596,0.035032786,0.93249017,6.30919981,6.614688396,0.610977173,0.610977173,37,6.614688396,6.003711224
38.  Lithuania (6.255),TRUE,2.624112844,0.476324439,1.349763155,0.055755351,0.61188519,0.072516426,1.065026522,6.255400181,6.344270229,0.177740097,0.177740097,38,6.344270229,6.166530132
39.  Cyprus (6.223),TRUE,2.577945471,0.463953614,1.376773596,0.178244114,0.800586581,0.06068984,0.765314162,6.223499775,6.319007874,0.191016197,0.191016197,39,6.319007874,6.127991676
40.  Estonia (6.189),TRUE,2.103230476,0.641227961,1.34363389,0.118699208,0.640037239,0.263185412,1.078817606,6.188799858,6.262831688,0.14806366,0.14806366,40,6.262831688,6.114768028
41.  Panama (6.180)*,TRUE,2.509446383,0.596409023,1.297856927,0.079498626,0.666877091,0.053349163,0.976140022,6.179599762,6.323417664,0.287635803,0.287635803,41,6.323417664,6.03578186
42.  Uzbekistan (6.179)*,TRUE,2.477226019,0.715963662,0.769001365,0.390659243,0.528400242,0.270557135,1.027037263,6.178800106,6.312103748,0.266607285,0.266607285,42,6.312103748,6.045496464
43.  Chile (6.172),TRUE,2.681791544,0.437762111,1.20035553,0.159079567,0.67783463,0.069504216,0.94553268,6.171899796,6.26232338,0.180847168,0.180847168,43,6.26232338,6.081476212
44.  Poland (6.166),TRUE,2.438252926,0.558366895,1.308976054,0.080425575,0.668437958,0.130091965,0.981569052,6.166100025,6.244983673,0.157767296,0.157767296,44,6.244983673,6.087216377
45.  Kazakhstan (6.152),TRUE,2.445716381,0.572846949,1.229593635,0.142670944,0.526653826,0.131538868,1.102823973,6.151800156,6.243323803,0.183047295,0.183047295,45,6.243323803,6.060276508
46.  Romania (6.140)*,TRUE,2.82957983,0.56375128,1.274650574,0.04480812,0.594536424,0.000682874,0.832038343,6.139999866,6.252610207,0.22522068,0.22522068,46,6.252610207,6.027389526
47.  Kuwait (6.106)*,TRUE,2.368409872,0.59057945,1.460853219,0.120024949,0.580199659,0.12952514,0.856527448,6.106100082,6.235341549,0.258482933,0.258482933,47,6.235341549,5.976858616
48.  Serbia (6.078),TRUE,2.682023287,0.481639057,1.100975275,0.189403892,0.633751571,0.066352352,0.923801601,6.077899933,6.181374073,0.20694828,0.20694828,48,6.181374073,5.974425793
49.  El Salvador (6.061),TRUE,3.084624052,0.615494668,0.844967306,0.116044991,0.564512074,0.160112113,0.674699128,6.060500145,6.187977791,0.254955292,0.254955292,49,6.187977791,5.933022499
50.  Mauritius (6.049),TRUE,2.461767435,0.59037447,1.178355932,0.152674526,0.573927939,0.095853232,0.996020913,6.048999786,6.165041924,0.232084274,0.232084274,50,6.165041924,5.932957649
51.  Latvia (6.032),TRUE,2.536352396,0.404969603,1.285496473,0.082286514,0.586504817,0.088994011,1.047381878,6.032000065,6.102818966,0.141637802,0.141637802,51,6.102818966,5.961181164
52.  Colombia (6.012),TRUE,2.794320583,0.553949118,1.020751238,0.100040294,0.614887297,0.062796168,0.865693629,6.01240015,6.132484913,0.240169525,0.240169525,52,6.132484913,5.892315388
53.  Hungary (5.992),TRUE,2.431815624,0.454094589,1.300679445,0.066522121,0.614849329,0.040280405,1.083366513,5.991600037,6.084691048,0.186182022,0.186182022,53,6.084691048,5.898509026
54.  Thailand (5.985),TRUE,2.309392691,0.611202717,1.107283473,0.375450134,0.595981777,0.028043941,0.957332551,5.984700203,6.076645374,0.183890343,0.183890343,54,6.076645374,5.892755032
55.  Nicaragua (5.972)*,TRUE,2.841221571,0.552526534,0.693482935,0.200761557,0.604026556,0.175854132,0.904269993,5.972099781,6.134358883,0.324518204,0.324518204,55,6.134358883,5.809840679
56.  Japan (5.940),TRUE,2.048070908,0.503763497,1.389140487,0.019542912,0.838471949,0.192246452,0.94925034,5.940499783,6.019532681,0.158065796,0.158065796,56,6.019532681,5.861466885
57.  Argentina (5.929),TRUE,2.460720301,0.543605089,1.162118077,0.069440775,0.646343827,0.067207493,0.979849875,5.929299831,6.039877415,0.221155167,0.221155167,57,6.039877415,5.818722248
58.  Portugal (5.929),TRUE,2.225221872,0.620548785,1.322677374,0.028545836,0.75970608,0.033171218,0.939128816,5.928999901,6.036649227,0.215298653,0.215298653,58,6.036649227,5.821350574
59.  Honduras (5.919)*,TRUE,2.933757782,0.578340471,0.703250647,0.240801468,0.592793643,0.083279461,0.787000239,5.919199944,6.080810547,0.323221207,0.323221207,59,6.080810547,5.75758934
60.  Croatia (5.882),TRUE,2.32495451,0.452573746,1.251406431,0.11120563,0.703010023,0,1.038583636,5.881700039,5.975455761,0.187511444,0.187511444,60,5.975455761,5.787944317
61.  Philippines (5.880),TRUE,2.872058153,0.651310325,0.852559626,0.124803491,0.425873011,0.126000986,0.82755959,5.880199909,5.982108593,0.203817368,0.203817368,61,5.982108593,5.778291225
62.  South (Korea (5.845),TRUE,2.26168561,0.353206396,1.402863383,0.133676022,0.800659895,0.135363102,0.758031309,5.845499992,5.928134441,0.165268898,0.165268898,62,5.928134441,5.762865543
63.  Peru (5.840)*,TRUE,2.743829966,0.535666645,0.986296117,0.087446161,0.622719467,0.03074328,0.832876086,5.839600086,5.987556458,0.295912743,0.295912743,63,5.987556458,5.691643715
64.  Bosnia and Herzegovina (5.813),TRUE,2.582631111,0.394984156,1.03228581,0.261374623,0.617946148,0.005185091,0.91871202,5.813099861,5.911228657,0.196257591,0.196257591,64,5.911228657,5.714971066
65.  Moldova (5.766),TRUE,2.665282726,0.535818398,0.9847458,0.136649475,0.542361438,0.013474797,0.888046682,5.76639986,5.856066227,0.179332733,0.179332733,65,5.856066227,5.676733494
66.  Ecuador (5.764),TRUE,2.652834654,0.560277283,0.935471117,0.107295394,0.640038192,0.061756402,0.806356072,5.763999939,5.875278473,0.222557068,0.222557068,66,5.875278473,5.652721405
67.  Kyrgyzstan (5.744),TRUE,2.64811039,0.672645569,0.664905846,0.265800238,0.501481593,0.020152519,0.970521748,5.743599892,5.834090233,0.180980682,0.180980682,67,5.834090233,5.65310955
68.  Greece (5.723),TRUE,2.560984373,0.243387148,1.272925258,0,0.759725511,0.074100554,0.811430395,5.722599983,5.812847137,0.180494308,0.180494308,68,5.812847137,5.632352829
69.  Bolivia (5.716),TRUE,2.804988146,0.599769413,0.842107236,0.13753514,0.485753208,0.06398771,0.781760097,5.715899944,5.819242001,0.206684113,0.206684113,69,5.819242001,5.612557888
70.  Mongolia (5.677),TRUE,2.492249966,0.396537811,0.965962052,0.263327837,0.441625535,0.052846044,1.064669251,5.677199841,5.759784222,0.165168762,0.165168762,70,5.759784222,5.594615459
