,,,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017
Region ,Sub-region,Country,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate
Americas,Caribbean,Dominican Republic,,,,,,,,,,,,,,,,,,,"5,937",59.78,"3,833",38.15,"4,275",42.06,"3,889",37.82,"3,142",30.22,,
Americas,Caribbean,Grenada,,,,,"1,894","1,803.81","1,903","1,812.38","1,312","1,249.52","1,285","1,223.81","1,175","1,108.49","1,152","1,086.79","1,236","1,155.14","1,313","1,227.10","1,394","1,290.74",529,485.32,494,449.09,437,397.27,375,337.84
Americas,Caribbean,Jamaica,,,,,,,,,,,,,,,"1,407",50.07,,,"5,684",200,"4,941",172.82,"3,918",136.28,"2,933",101.45,"2,262",77.84,"2,884",98.73
Americas,Caribbean,Puerto Rico,,,,,,,,,,,"3,115",86.34,"3,440",95.64,"2,714",75.81,"2,894",81.29,"2,733",77.27,"2,395",68.35,"2,475",71.66,"2,960",87.52,"3,594",109.47,"3,175",100.35
Americas,Caribbean,St. Kitts and Nevis,,,,,,,,,,,,,148,302.04,155,316.33,137,279.59,,,,,,,,,,,,
Americas,Caribbean,St. Vincent and the Grenadines,,,"1,529","1,402.75","1,252","1,148.62","1,054",966.97,"1,063",975.23,"1,029",952.78,"1,220","1,129.63","1,309","1,212.04","1,245","1,152.78","1,112","1,029.63",,,,,,,821,753.21,,
Americas,Caribbean,Trinidad and Tobago,,,643,49.84,801,61.76,657,50.42,680,51.99,771,58.68,689,52.16,616,46.39,535,40.04,579,43.05,542,40.03,558,40.97,600,43.8,,,,
Americas,Central America,Belize,,,,,,,142,48.8,,,,,519,164.76,,,,,923,273.08,,,"1,042",295.18,,,,,,
Americas,Central America,Costa Rica,,,,,,,"5,931",136.5,"6,429",145.95,"6,750",151.24,"7,437",164.5,"7,953",173.76,"7,361",158.88,"6,477",138.16,"8,221",173.37,"8,477",176.79,"8,517",175.68,"7,529",153.68,"7,695",155.45
Americas,Central America,El Salvador,,,,,"4,628",76.47,"4,614",75.9,"2,971",48.66,"3,428",55.9,"3,901",63.35,"3,891",62.92,"3,681",59.27,"4,228",67.78,"4,322",68.98,"3,920",62.27,"5,887",93.08,"2,506",39.43,"3,745",58.63
