,,,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017
Region,Sub-region,Country,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate
Americas,South America,Argentina,,,,,,,,,"483,929","1,134.97","443,033","1,028.52","437,078","1,004.59","405,361",922.596
Americas,South America,Bolivia (Plurinational State of),"12,470",124.092,"11,872",116.244,"14,411",138.861,,,,,,,,,,
Americas,South America,Brazil,"1,081,041",552.358,"1,087,059",550.368,"979,571",491.538,"1,012,504",503.643,"1,282,371",632.445,"1,550,614",758.35,"1,590,325",771.392,"1,657,131",797.334
Americas,South America,Chile,"81,667",478.62,"91,982",533.724,"81,664",469.333,"93,062",529.604,"106,342",598.806,"106,476",592.554,"115,880",636.389,"117,004",633.481
Americas,South America,Colombia,"61,439",135.858,"67,861",148.613,"82,647",179.371,"93,742",201.617,"94,369",200.922,"101,341",213.255,"146,642",304.394,"119,531",244.39
Americas,South America,Ecuador,"54,107",360.449,"72,275",474.121,"85,892",555.073,"94,209",599.79,"89,075",558.394,"94,329",581.847,"82,366",499.46,"76,747",457.236
Americas,South America,Guyana,"1,095",146.195,"1,191",158.378,"1,401",185.563,"1,531",201.713,,,"1,463",190.743,"1,289",167.185,"1,250",161.29
Americas,South America,Paraguay,"13,680",218.95,"13,514",213.356,"15,006",233.666,"17,717",272.151,"20,305",307.652,"21,060",314.845,"22,277",328.666,"1,979",28.819
Americas,South America,Peru,"56,814",195.721,"64,903",221.784,"76,424",259.003,"79,873",268.264,"77,600",257.893,"82,950",272.226,"76,742",248.147,"70,079",222.869
Americas,South America,Uruguay,"13,829",411.7,"15,003",445.325,"15,414",456.17,"16,718",493.302,"18,577",546.382,"19,423",569.256,"18,794",548.89,"17,957",522.461
Asia,Central Asia,Kazakhstan,"10,734",66.047,"18,117",109.86,"20,259",120.935,"18,832",110.607,"14,317",82.743,"12,197",69.412,,,"9,469",52.373
Asia,Central Asia,Kyrgyzstan,"2,798",51.605,"2,434",44.11,"2,074",36.891,"1,616",28.198,,,,,969,15.953,,
Asia,Central Asia,Tajikistan,245,3.255,288,3.741,,,,,,,,,,,,
Asia,Central Asia,Uzbekistan,,,,,,,,,"1,432",4.707,"1,220",3.944,"1,052",3.346,831,2.6
Asia,Eastern Asia,Hong Kong Special Administrative Region of China,778,11.169,731,10.432,616,8.741,500,7.053,,,,,,,,
Asia,Eastern Asia,Japan,"4,052",3.152,"3,698",2.878,"3,693",2.876,"3,324",2.591,"3,056",2.384,"2,426",1.896,"2,332",1.825,,
Asia,Eastern Asia,Macao Special Administrative Region of China,178,33.086,198,35.935,179,31.738,150,25.997,120,20.339,113,18.771,98,15.987,108,17.335
Asia,Eastern Asia,Mongolia,520,19.118,536,19.35,552,19.54,620,21.513,686,23.333,537,17.912,474,15.51,"1,233",39.595
Asia,Eastern Asia,Republic of Korea,"4,409",8.899,"3,994",8.022,"2,586",5.166,"1,980",3.933,"1,586",3.134,"1,446",2.845,"1,149",2.254,967,1.893
Asia,South-Eastern Asia,Indonesia,"9,910",4.098,"11,207",4.572,"12,355",4.973,"12,045",4.783,"11,758",4.609,"11,776",4.558,"12,095",4.624,"10,692",4.04
Asia,South-Eastern Asia,Myanmar,13,0.026,10,0.02,10,0.019,121,0.233,116,0.222,146,0.277,179,0.337,,
Asia,South-Eastern Asia,Philippines,"36,121",38.44,"31,037",32.476,"26,988",27.762,"49,247",49.809,"43,726",43.503,"31,741",31.084,"21,218",20.468,"16,073",15.282
Asia,South-Eastern Asia,Singapore,518,10.095,394,7.485,290,5.401,254,4.657,230,4.162,123,2.2,96,1.698,69,1.209
Asia,South-Eastern Asia,Thailand,"1,846",2.747,"1,271",1.882,"1,521",2.242,"1,665",2.443,"1,431",2.091,"1,499",2.181,"1,062",1.54,,
Asia,South-Eastern Asia,Timor-Leste,,,,,,,,,,,,,16,1.313,23,1.85
Asia,Southern Asia,Bhutan,47,6.851,41,5.916,33,4.701,41,5.775,13,1.808,23,3.159,25,3.392,17,2.279
Asia,Southern Asia,India,"23,393",1.895,"24,700",1.976,"31,657",2.501,"36,466",2.847,,,,,,,,
Asia,Southern Asia,Maldives,547,149.454,718,188.947,972,244.836,729,175.24,,,,,,,,
Asia,Southern Asia,Nepal,,,,,,,,,,,,,85,0.312,,
Asia,Southern Asia,Pakistan,"18,098",10.087,"20,521",11.193,"17,081",9.121,"17,363",9.078,"18,107",9.271,"15,164",7.604,"13,088",6.427,"12,458",5.992
Asia,Southern Asia,Sri Lanka,"6,440",31.784,"6,240",30.591,"6,552",31.91,"4,743",22.954,"4,235",20.371,"4,017",19.213,"3,455",16.436,,
Asia,Western Asia,Armenia,356,12.374,344,11.957,310,10.749,257,8.868,289,9.924,291,9.945,308,10.49,229,7.776
