Index,Country,Crime Index
1,Venezuela,85.28
2,Papua New Guinea,82.38
3,Honduras,78.34
4,South Sudan,78.18
5,South Africa,75.72
6,Afghanistan,73.85
7,El Salvador,71.57
8,Nigeria,70.87
9,Brazil,70.62
10,Trinidad And Tobago,70.15
11,Puerto Rico,69.19
12,Mongolia,67.62
13,Jamaica,67.48
14,Bangladesh,67.24
15,Syria,66.34
16,Angola,65.51
17,Kenya,64.96
18,Malaysia,64.75
19,Peru,63.28
20,Bahamas,63.21
21,Namibia,63.09
22,Argentina,62.63
23,Dominican Republic,62.62
24,Tanzania,61.39
25,Guatemala,59.58
26,Bolivia,59.5
27,Somalia,58.83
28,Botswana,58.22
29,Uganda,56.87
30,Costa Rica,55.94
31,Fiji,55.6
32,Cambodia,54.61
33,Libya,54.47
34,Pakistan,54.38
35,Iraq,54.35
36,Zimbabwe,53.46
37,Vietnam,52.96
38,Egypt,52.86
39,Colombia,51.69
40,Uruguay,51.64
41,Ukraine,51.27
42,Mauritius,51.13
43,Iran,50.9
44,Ecuador,50.88
45,Mexico,50.32
46,Panama,50.01
47,Thailand,49.78
48,Indonesia,49.68
49,Algeria,49.63
50,Ethiopia,49.18
51,Lebanon,49.16
52,Morocco,48.89
53,United States,48.76
54,Kazakhstan,48.29
55,Chile,47.5
56,Ghana,46.99
57,Maldives,46.98
58,Sweden,46.65
59,Russia,46.05
60,Ireland,45.77
61,Norway,45.69
62,Moldova,45.35
63,Italy,44.66
64,Belgium,44.51
65,Albania,44.27
66,India,43.96
67,France,43.66
68,Jordan,43.14
69,Australia,42.42
70,United Kingdom,41.19
71,Turkey,41.09
72,Bosnia And Herzegovina,40.97
73,Tunisia,40.94
74,Greece,40.32
75,Bulgaria,40.18
76,Lithuania,40.03
77,Philippines,39.77
78,Canada,39.25
79,New Zealand,38.78
80,Montenegro,38.67
81,North Macedonia,38.66
82,Serbia,38.62
83,Hungary,38.39
84,Palestine,38.01
85,Nepal,37.15
86,Latvia,36.45
87,Brunei,36.07
88,Portugal,35.39
89,Bahrain,35.35
90,Sudan,35.05
91,Sri Lanka,34.57
92,China,33.9
93,Kuwait,33.48
94,Cyprus,32.46
95,Germany,32.03
96,Poland,31.53
97,Spain,31.28
98,Malta,30.56
99,Czech Republic,30.18
100,Slovakia,30.18
101,Netherlands,29.89
102,Luxembourg,29.04
103,Israel,29.01
104,Romania,27.95
105,Croatia,27.8
106,Iceland,27.49
107,Armenia,27.08
108,Azerbaijan,27.05
109,South Korea,25.27
110,Finland,24.63
111,Oman,24.47
112,Slovenia,24.05
113,Saudi Arabia,23.65
114,Estonia,23
115,Switzerland,22.45
116,Belarus,22.26
117,Denmark,21.13
118,Japan,20.89
119,Georgia,20.83
120,Hong Kong,20.68
121,United Arab Emirates,20.66
122,Austria,19.25
123,Taiwan,17.24
124,Singapore,16.58
125,Qatar,15.7
