Index,Country,Crime Index
1,Venezuela,85.7
2,Guatemala,84.87
3,Trinidad And Tobago,83.65
4,South Africa,76.68
5,Kenya,74.3
6,Honduras,72.97
7,Uzbekistan,72.27
8,Puerto Rico,70.53
9,Malaysia,67.75
10,Costa Rica,66.69
11,Uganda,66.02
12,Brazil,62.62
13,Syria,62.34
14,Pakistan,61.52
15,Paraguay,60.68
16,Nigeria,60.62
17,Kyrgyzstan,60.05
18,Ecuador,59.74
19,Bangladesh,59.43
20,Argentina,59.29
21,Dominican Republic,58.07
22,Peru,58
23,Eritrea,57.81
24,Iraq,56.25
25,Mexico,56.23
26,Iran,56.15
27,Philippines,54.94
28,Monaco,54.69
29,Colombia,54.16
30,Jamaica,53.91
31,United States,53.44
32,Vietnam,53.02
33,Kazakhstan,52.86
34,Zimbabwe,52.86
35,Russia,52.39
36,Angola,52.34
37,Algeria,51.82
38,Mauritius,51.51
39,France,51.13
40,El Salvador,50.57
41,Greece,49.76
42,Italy,49.46
43,Ukraine,48.95
44,Egypt,48.67
45,Panama,48.46
46,Israel,48.26
47,Lebanon,47.31
48,Albania,47.05
49,Mongolia,46.87
50,Bolivia,46.35
51,Latvia,45.71
52,Tunisia,45.46
53,Uruguay,44.97
54,Ireland,44.95
55,Australia,44.44
56,Laos,44.27
57,Jordan,43.43
58,Bosnia And Herzegovina,43.26
59,Belgium,42.95
60,India,42.12
61,Nicaragua,41.93
62,New Zealand,41.79
63,Moldova,41.67
64,Bulgaria,41.47
65,Serbia,41.23
66,Armenia,41.07
67,Thailand,40.53
68,Indonesia,40.49
69,Chile,40.28
70,United Kingdom,39.78
71,Sri Lanka,39.69
72,Poland,38.93
73,Nepal,38.15
74,Netherlands,37.53
75,Namibia,37.34
76,Azerbaijan,36.69
77,Turkey,35.2
78,Slovakia,35.16
79,Canada,34.98
80,Portugal,34.96
81,Lithuania,34.61
82,Morocco,34.32
83,Czech Republic,34.12
84,Spain,34.12
85,Cyprus,34.02
86,Hungary,33.72
87,Cambodia,32.81
88,Finland,32.69
89,Croatia,32.25
90,Sweden,31.81
91,Saudi Arabia,31.74
92,Denmark,30.74
93,Austria,30.44
94,Brunei,30.08
95,Romania,30.02
96,North Macedonia,29.65
97,Slovenia,29.6
98,Switzerland,27.58
99,Kuwait,26.95
100,China,26.87
101,Belarus,26.82
102,Montenegro,26.56
103,Qatar,26.17
104,Ethiopia,26.04
105,Norway,25.61
106,Estonia,24.23
107,Germany,23.86
108,Iceland,22.32
109,Singapore,19.98
110,Bahrain,19.79
111,Georgia,19.57
112,Luxembourg,18.75
113,Malta,18.54
114,United Arab Emirates,18.01
115,South Korea,17.4
116,Hong Kong,16.57
117,Taiwan,16.26
118,Japan,13.11
