,,,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017
Region,Sub-region,Country,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate
Americas,Central America,Costa Rica,5,0.12,8,0.189,11,0.257,6,0.138,8,0.182,8,0.179,5,0.111,11,0.24,12,0.259,5,0.107,4,0.084,4,0.083,11,0.227,17,0.347,10,0.202
Americas,Central America,El Salvador,,,,,4,0.066,8,0.132,21,0.344,10,0.163,22,0.357,29,0.469,15,0.242,14,0.224,14,0.223,17,0.27,19,0.3,23,0.362,15,0.235
Americas,Central America,Guatemala,,,51,0.399,52,0.397,57,0.425,98,0.715,213,1.521,162,1.132,133,0.909,124,0.829,83,0.544,519,3.328,450,2.826,402,2.474,,,,
Americas,Central America,Honduras,,,,,,,,,,,,,,,,,37,0.436,79,0.914,51,0.58,86,0.96,42,0.461,22,0.237,20,0.212
Americas,Central America,Mexico,169,0.164,323,0.309,325,0.307,595,0.553,438,0.401,907,0.818,"1,162",1.033,"1,284",1.125,"1,344",1.162,"1,512",1.289,"1,888",1.589,"1,592",1.323,885,0.726,"1,221",0.99,"1,219",0.977
Americas,Central America,Nicaragua,,,,,11,0.202,6,0.109,,,,,,,7,0.12,,,,,,,,,,,,,,
Americas,Central America,Panama,,,11,0.336,17,0.511,13,0.383,29,0.84,21,0.597,28,0.782,38,1.043,25,0.675,17,0.451,26,0.678,22,0.564,14,0.353,23,0.57,35,0.852
Americas,Northern America,Bermuda,3,4.545,2,3.03,,,,,,,,,2,3.03,1,1.538,3,4.615,4,6.154,4,6.25,1,1.563,1,1.563,,,0,0
Americas,Northern America,Canada,"3,198",10.156,"3,457",10.866,"3,896",12.113,"4,488",13.794,"4,660",14.151,"4,732",14.194,"4,791",14.197,"4,301",12.595,"3,780",10.944,"3,637",10.415,"3,231",9.154,"3,290",9.225,"3,593",9.973,"3,775",10.376,"3,778",10.285
Americas,South America,Bolivia (Plurinational State of),,,,,99,1.072,143,1.522,160,1.674,125,1.286,111,1.123,91,0.906,104,1.018,104,1.002,116,1.1,101,0.943,32,0.294,48,0.435,,
Americas,South America,Brazil,,,,,,,525,0.279,516,0.271,290,0.151,552,0.285,401,0.205,319,0.162,414,0.208,396,0.197,413,0.204,473,0.231,753,0.365,524,0.252
Americas,South America,Chile,161,1.016,114,0.712,151,0.933,247,1.51,254,1.537,266,1.592,246,1.457,259,1.518,327,1.897,254,1.46,274,1.559,293,1.65,279,1.553,338,1.856,300,1.624
Americas,South America,Colombia,,,"1,442",3.427,800,1.876,687,1.59,521,1.191,437,0.987,213,0.476,282,0.624,305,0.668,305,0.662,299,0.643,288,0.613,213,0.448,207,0.43,195,0.399
Americas,South America,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,"1,174",7.242,972,5.894,796,4.742
Americas,South America,Guyana,,,,,,,1,0.134,,,,,2,0.267,2,0.267,1,0.133,0,0,0,0,,,0,0,0,0,0,0
Americas,South America,Paraguay,,,,,1,0.017,5,0.085,,,4,0.066,9,0.146,3,0.048,2,0.032,0,0,3,0.046,2,0.03,2,0.03,3,0.044,30,0.437
Americas,South America,Peru,275,1.005,469,1.698,497,1.784,611,2.174,463,1.634,483,1.691,822,2.855,476,1.64,471,1.609,446,1.512,430,1.444,347,1.153,205,0.673,241,0.779,197,0.627
Americas,South America,Uruguay,3,0.09,,,,,,,,,,,,,,,,,19,0.562,20,0.59,,,9,0.264,11,0.321,37,1.077
