Index,Country,Crime Index
1,South Sudan,85.32
2,Venezuela,84.07
3,Guatemala,79.34
4,South Africa,78.44
5,Afghanistan,77.34
6,Guyana,76.88
7,Nigeria,76.6
8,Trinidad And Tobago,75.28
9,Honduras,74.91
10,Bahamas,72.93
11,Kenya,72.61
12,Jamaica,71.91
13,Mongolia,70.25
14,Yemen,70.09
15,Malaysia,69.97
16,Papua New Guinea,69.89
17,Libya,69.64
18,El Salvador,69.44
19,Brazil,68.95
20,Maldives,68.75
21,Angola,67.97
22,Dominican Republic,67.72
23,Puerto Rico,67.06
24,Bolivia,65.6
25,Somalia,65.6
26,Kyrgyzstan,65.07
27,Cameroon,64.84
28,Bangladesh,64.25
29,Costa Rica,63.05
30,Argentina,62.4
31,Haiti,62.31
32,Belize,62.27
33,Zimbabwe,62.18
34,Tanzania,61.8
35,Pakistan,61.16
36,Mozambique,60.47
37,Egypt,60.14
38,Uganda,59.41
39,Uzbekistan,58.13
40,Peru,57.63
41,Colombia,56.88
42,Syria,56.32
43,Namibia,55.59
44,Paraguay,55.57
45,Iraq,54.06
46,Ecuador,54.04
47,Mexico,53.84
48,Vietnam,52.29
49,Lebanon,51.98
50,Algeria,51.34
51,Russia,51.33
52,Iran,50.9
53,Panama,50.08
54,United States,50.01
55,Sri Lanka,49.96
56,Myanmar,49.77
57,France,49.71
58,Moldova,49.7
59,Albania,49.6
60,Fiji,49.44
61,Ghana,49.42
62,Ukraine,49.36
63,Nepal,49.18
64,Ireland,49.07
65,Mauritius,48.53
66,Morocco,47.55
67,Italy,47.5
68,Indonesia,47.22
69,Uruguay,47.17
70,Botswana,46.77
71,Kosovo (Disputed Territory),46.76
72,Kazakhstan,46.68
73,India,46.55
74,Bosnia And Herzegovina,45.82
75,Jordan,45.51
76,Chile,45.01
77,Barbados,44.38
78,Cambodia,44.06
79,Timor-Leste,43.75
80,Kuwait,43.51
81,Bulgaria,43.45
82,Serbia,43.43
83,Philippines,43.11
84,Tunisia,42.67
85,Nicaragua,42.37
86,Australia,42.16
87,Sweden,42.09
88,Belgium,42.04
89,United Kingdom,42.01
90,Hungary,41.76
91,China,41.75
92,Zambia,41.72
93,Greece,41.35
94,Bermuda,40.29
95,Bahrain,39.97
96,New Zealand,39.76
97,Canada,37.46
98,Latvia,37.22
99,Thailand,37.06
100,Lithuania,36.69
101,Turkey,36.4
102,Laos,36.24
103,North Macedonia,36.06
104,Portugal,35.84
105,Luxembourg,35.74
106,Sudan,35.68
107,Azerbaijan,35.47
108,Netherlands,35.41
109,Palestine,35.39
110,Ethiopia,35.07
111,Montenegro,34.89
112,Saudi Arabia,34.57
113,Oman,34.43
114,Spain,33.85
115,Slovakia,33.34
116,Iceland,33.32
117,Poland,32.99
118,Czech Republic,32.89
119,Cyprus,31.56
120,Norway,31.19
121,Belarus,30.5
122,Israel,30.4
123,Brunei,30.35
124,Romania,29.72
125,Finland,29.55
126,Croatia,29.34
127,Armenia,29.14
128,Slovenia,28.71
129,Germany,28.49
130,Estonia,28.13
131,Monaco,27.94
132,Switzerland,26.77
133,Austria,26.25
134,Malta,25.91
135,Denmark,25.71
136,United Arab Emirates,22.22
137,Georgia,22.01
138,Taiwan,21.88
139,Qatar,21.04
140,Japan,20.24
141,Hong Kong,19.24
142,Rwanda,19.16
143,Faroe Islands,18.53
144,South Korea,17.99
145,Turkmenistan,17.86
146,Singapore,17.59
147,Isle Of Man,15.1
