,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
6440,3612,Ana Flvia Chritaro Daniel Sanglard,F,26.0,187.0,73.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
6760,3790,Anderson de Oliveira Rodrigues,M,30.0,190.0,95.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,Gold
6761,3790,Anderson de Oliveira Rodrigues,M,34.0,190.0,95.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,Silver
7330,4101,Andria Suntaque,F,30.0,175.0,65.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver
8851,4859,Adriana dos Santos Arajo,F,30.0,167.0,60.0,Brazil,BRA,2012 Summer,2012,Summer,London,Boxing,Boxing Women's Lightweight,Bronze
9260,5093,William Peixoto Arjona,M,37.0,186.0,78.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
14312,7716,Brbara Seixas de Freitas,F,29.0,178.0,67.0,Brazil-1,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Silver
17627,9394,Adriana Brando Behar,F,31.0,180.0,64.0,Brazil-1,BRA,2000 Summer,2000,Summer,Sydney,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Silver
17628,9394,Adriana Brando Behar,F,35.0,180.0,64.0,Brazil-1,BRA,2004 Summer,2004,Summer,Athina,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Silver
22613,11920,Lars Sigurd Bjorkstrom,M,36.0,184.0,75.0,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Sailing,Sailing Mixed Multihull,Gold
25790,13462,Gustavo Frana Borges,M,19.0,203.0,98.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 100 metres Freestyle,Silver
25795,13462,Gustavo Frana Borges,M,23.0,203.0,98.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Freestyle,Bronze
25796,13462,Gustavo Frana Borges,M,23.0,203.0,98.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Freestyle,Silver
25799,13462,Gustavo Frana Borges,M,27.0,203.0,98.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
28565,14810,Thiago Braz da Silva,M,22.0,183.0,75.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Pole Vault,Gold
34252,17650,Tiago Henrique de Oliveira Camilo,M,18.0,180.0,90.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Lightweight,Silver
34253,17650,Tiago Henrique de Oliveira Camilo,M,26.0,180.0,90.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Half-Middleweight,Bronze
34879,17977,Flvio Vianna de Ulha Canto,M,29.0,179.0,81.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Half-Middleweight,Bronze
35778,18385,Wlter Carmona,M,27.0,183.0,86.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Middleweight,Bronze
35850,18420,"Carolina ""Carol"" Demartini de Albuquerque",F,31.0,182.0,76.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
41794,21544,Csar Augusto Cielo Filho,M,21.0,195.0,80.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 50 metres Freestyle,Gold
41795,21544,Csar Augusto Cielo Filho,M,21.0,195.0,80.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Freestyle,Bronze
41797,21544,Csar Augusto Cielo Filho,M,25.0,195.0,80.0,Brazil,BRA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 50 metres Freestyle,Bronze
43889,22623,Robson Donato Conceio,M,27.0,171.0,57.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Lightweight,Gold
44101,22721,Reinaldo Conrad,M,26.0,179.0,78.0,Brazil,BRA,1968 Summer,1968,Summer,Mexico City,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze
44103,22721,Reinaldo Conrad,M,34.0,179.0,78.0,Brazil,BRA,1976 Summer,1976,Summer,Montreal,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze
46586,24043,Joaquim Carvalho Cruz,M,21.0,187.0,74.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 800 metres,Gold
46588,24043,Joaquim Carvalho Cruz,M,25.0,187.0,74.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 800 metres,Silver
47785,24635,Jos Telles da Conceio,M,21.0,186.0,74.0,Brazil,BRA,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's High Jump,Bronze
47881,24678,Adhemar Ferreira da Silva,M,24.0,178.0,69.0,Brazil,BRA,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's Triple Jump,Gold
47882,24678,Adhemar Ferreira da Silva,M,29.0,178.0,69.0,Brazil,BRA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's Triple Jump,Gold
47892,24684,Andr Domingos da Silva,M,23.0,187.0,78.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
47894,24684,Andr Domingos da Silva,M,27.0,187.0,78.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
47975,24724,Mayra Aguiar da Silva,F,20.0,177.0,78.0,Brazil,BRA,2012 Summer,2012,Summer,London,Judo,Judo Women's Half-Heavyweight,Bronze
47976,24724,Mayra Aguiar da Silva,F,25.0,177.0,78.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Half-Heavyweight,Bronze
47984,24730,Rafael Carlos da Silva,M,25.0,203.0,160.0,Brazil,BRA,2012 Summer,2012,Summer,London,Judo,Judo Men's Heavyweight,Bronze
47985,24730,Rafael Carlos da Silva,M,29.0,203.0,160.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Heavyweight,Bronze
47989,24731,Rbson Caetano da Silva,M,24.0,187.0,74.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 200 metres,Bronze
50329,25898,Luiz Felipe Cortizo Gonalves de Azevedo,M,42.0,179.0,73.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
